,latitude,longitude
290,117.19,-20.68
291,117.19,-20.68
292,117.19,-20.68
293,117.19,-20.68
294,117.19,-20.68
295,117.2,-20.68
296,117.19,-20.68
297,115.65,-32.25
298,115.15,-34.35
299,115.36,-20.87
300,122.21,-18.0
301,122.24,-17.96
302,115.13,-21.65
303,115.65,-33.32
304,115.73,-32.05
